postcode,easting,northing,latitude,longitude,street,city,district,county,region,country,numbers
SW14 8FJ,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FL,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FN,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FP,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FQ,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FR,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8FS,520532,0175905,51.469284,-0.266096,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,
SW14 8HA,520801,0175806,51.468337,-0.262258,Fitzgerald Road,London,Richmond upon Thames,Greater London,London,England,"1,2a,2b,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22"
SW14 8HB,520793,0175887,51.469067,-0.262346,Fitzgerald Road,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5a James Terrace,5 James Terrace,6 James Terrace,7 James Terrace,8 James Terrace"
SW14 8HD,520772,0175847,51.468712,-0.262662,Fitzgerald Road,London,Richmond upon Thames,Greater London,London,England,"Adelaide Cottage,Elizabeth Cottage,Lunns Cottage"
SW14 8HE,520872,0175836,51.468592,-0.261227,Worple Street,London,Richmond upon Thames,Greater London,London,England,"1a,1,2,3,4,5,6,26,27,28,29,30,31,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25"
SW14 8HF,520924,0175856,51.468760,-0.260471,Avondale Road,London,Richmond upon Thames,Greater London,London,England,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,49,50,51,52,54,56,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48"
SW14 8HG,520878,0175950,51.469615,-0.261101,Mortlake High Street,London,Richmond upon Thames,Greater London,London,England,"1 Kindell House,2 Kindell House,3 Kindell House,4 Kindell House,5 Kindell House,6 Kindell House,7 Kindell House,8 Kindell House,9 Kindell House,10 Kindell House,11 Kindell House,12 Kindell House,13 Kindell House,14 Kindell House,15 Kindell House,16 Kindell House"
SW14 8HH,520855,0175522,51.465773,-0.261578,Paynesfield Avenue,London,Richmond upon Thames,Greater London,London,England,
SW14 8HJ,520799,0176004,51.470117,-0.262220,Bulls Alley,London,Richmond upon Thames,Greater London,London,England,"1 Tapestry Court,2 Tapestry Court,3 Tapestry Court,4 Tapestry Court,5 Tapestry Court"
SW14 8HL,520707,0175989,51.470002,-0.263549,Bulls Alley,London,Richmond upon Thames,Greater London,London,England,"1 Weatherstone Court 69,2 Weatherstone Court 69,3 Weatherstone Court 69,5 Weatherstone Court 69,6 Weatherstone Court 69,7 Weatherstone Court 69,8 Weatherstone Court 69,9 Weatherstone Court 69,10 Weatherstone Court 69,11 Weatherstone Court,Flat 1 At 69,Flat R1 At 69,R1 Weatherstone Court 69,Flat 2 At 69,Flat R2 At 69,R2 Weatherstonecourt 69,Flat 3 At 69,Flat R3 At 69,R3 Weatherstone Court 69,Flat R4 At 69,R4 Weatherstone Court 69,Flat 5 At 69,Flat 6 At 69,Flat 7 At 69,Flat 8 At 69,Flat 9 At 69,Flat 10 At 69,Flat 11 At 69,69,71a,71,The Lord Napier Ph,R1 Boatrace Court,1 Boatrace Court,R2 Boatrace Court,2 Boatrace Court,R3 Boatrace Court,3 Boatrace Court,R4 Boatrace Court,5 Boatrace Court,6 Boatrace Court,7 Boatrace Court,8 Boatrace Court,9 Boatrace Court,10 Boatrace Court,11 Boatrace Court,1 Capatus House,2 Capatus House,3 Capatus House,4 Capatus House,5 Capatus House,6 Capatus House,7 Capatus House,8 Capatus House,9 Capatus House,1 Sutapac House,2 Sutapac House,3 Sutapac House,4 Sutapac House"
SW14 8HN,520600,0175900,51.469225,-0.265119,Alder Road,London,Richmond upon Thames,Greater London,London,England,
SW14 8HP,520728,0175948,51.469629,-0.263260,Mullins Path,London,Richmond upon Thames,Greater London,London,England,"1 Craven House,2 Craven House,3 Craven House,4 Craven House,5 Craven House,6 Craven House,7 Craven House,8 Craven House,9 Craven House,10 Craven House,11 Craven House,12 Craven House,13 Craven House,14 Craven House,15 Craven House"
SW14 8HQ,520865,0175988,51.469959,-0.261275,Mortlake High Street,London,Richmond upon Thames,Greater London,London,England,"Flat 2 At 107,Flat 3 At 107,Flat 4 At 107,Flat 5 At 107,Flat 6 At 107,Flat 7 At 107,Flat 8 At 107,109,111,113,115,117a,117b,117c,119a,Flat 1 119,Flat 1 At 119,Flat 2 119,Flat 3 119,119,101a,Maisonette Bst & Gnd Flrs 101,103,105,Flat 1 At 107"
SW14 8HR,520634,0175935,51.469532,-0.264618,Vineyard Path,London,Richmond upon Thames,Greater London,London,England,"The Charlie Butler Ph,Flat 1 Butler House,Flat 2 Butler House,Flat 3 Butler House,Flat 4 Butler House,Flat 5 Butler House,Flat 6 Butler House,Flat 7 Butler House,Flat 8 Butler House,Flat 9 Butler House"
SW14 8HS,520778,0176003,51.470113,-0.262522,Bulls Alley,London,Richmond upon Thames,Greater London,London,England,"1 Dukes Court,2 Dukes Court,3 Dukes Court,4 Dukes Court,5 Dukes Court,6 Dukes Court,7 Dukes Court,8 Dukes Court,9 Dukes Court,10 Dukes Court,11 Dukes Court,12 Dukes Court,13 Dukes Court,14 Dukes Court,15 Dukes Court,16 Dukes Court,17 Dukes Court,18 Dukes Court,19 Dukes Court,20 Dukes Court,21 Dukes Court,22 Dukes Court,23 Dukes Court,24 Dukes Court,25 Dukes Court,26 Dukes Court,27 Dukes Court,28 Dukes Court,29 Dukes Court,30 Dukes Court,31 Dukes Court,32 Dukes Court"
SW14 8HT,520688,0175947,51.469628,-0.263836,Bulls Alley,London,Richmond upon Thames,Greater London,London,England,"1 Rann House,2 Rann House,3 Rann House,4 Rann House,5 Rann House,6 Rann House,7 Rann House,8 Rann House,9 Rann House,10 Rann House,11 Rann House,12 Rann House,13 Rann House,14 Rann House,15 Rann House,16 Rann House,17 Rann House,18 Rann House,19 Rann House,20 Rann House,21 Rann House,22 Rann House,23 Rann House,24 Rann House"
SW14 8HW,520789,0175948,51.469616,-0.262383,Fitzgerald Road,London,Richmond upon Thames,Greater London,London,England,"1 John Dee House,2 John Dee House,3 John Dee House,4 John Dee House,5 John Dee House,6 John Dee House,7 John Dee House,8 John Dee House,9 John Dee House,10 John Dee House,11 John Dee House,12 John Dee House,13 John Dee House,14 John Dee House,15 John Dee House,16 John Dee House,17 John Dee House,18 John Dee House,19 John Dee House,20 John Dee House,21 John Dee House,22 John Dee House,23 John Dee House,24 John Dee House,25 John Dee House,26 John Dee House,27 John Dee House,28 John Dee House,29 John Dee House,30 John Dee House,31 John Dee House,32 John Dee House"
